timestamp,problem_size,instance_name,run_number,runs_per_instance,paradigm,solver,model,started_at,finished_at,elapsed_seconds,avg_ram_mb,max_ram_mb,cpu_percent,makespan,status,error
2026-05-14-20:21:15,j30,j3045_7,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T02:32:43,2026-05-15T02:32:47,4.313240,38.34,42.96,99.0,101,ok,
2026-05-14-20:21:15,j30,j3045_7,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T02:32:47,2026-05-15T02:52:53,1206.289743,502.23,531.63,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3045_7,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T02:52:53,2026-05-15T02:54:43,109.362267,167.62,193.67,99.6,101,ok,
2026-05-14-20:21:15,j30,j3041_5,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T02:54:43,2026-05-15T02:54:43,0.583108,19.11,29.20,95.9,99,ok,
2026-05-14-20:21:15,j30,j3041_5,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T02:54:43,2026-05-15T03:14:43,1200.330829,66.47,69.62,99.7,99,ok,
2026-05-14-20:21:15,j30,j3041_5,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T03:14:43,2026-05-15T03:14:45,1.360908,33.02,44.65,98.1,99,ok,
2026-05-14-20:21:15,j30,j3041_5,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T03:14:45,2026-05-15T03:34:45,1200.236140,379.41,392.99,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3041_5,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T03:34:45,2026-05-15T03:35:50,64.875869,136.58,172.62,99.6,99,ok,
2026-05-14-20:21:15,j30,j3041_10,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T03:35:50,2026-05-15T03:35:55,4.690513,44.28,62.53,99.3,99,ok,
2026-05-14-20:21:15,j30,j3041_10,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T03:35:55,2026-05-15T03:55:55,1200.327765,63.60,71.70,99.7,105,ok,
2026-05-14-20:21:15,j30,j3041_10,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T03:55:55,2026-05-15T03:57:00,65.514742,46.25,50.22,99.5,99,ok,
2026-05-14-20:21:15,j30,j3041_10,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T03:57:00,2026-05-15T04:17:02,1201.782630,401.43,428.54,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3041_10,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T04:17:02,2026-05-15T04:32:23,920.411764,175.71,187.16,99.7,99,ok,
2026-05-14-20:21:15,j30,j303_4,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T04:32:23,2026-05-15T04:32:23,0.504518,17.08,23.93,95.7,98,ok,
2026-05-14-20:21:15,j30,j303_4,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T04:32:23,2026-05-15T04:32:24,0.509525,15.73,24.45,96.3,98,ok,
2026-05-14-20:21:15,j30,j303_4,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T04:32:24,2026-05-15T04:32:24,0.499300,14.37,21.52,95.7,98,ok,
2026-05-14-20:21:15,j30,j303_4,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T04:32:24,2026-05-15T04:32:26,1.488307,55.25,118.58,98.8,98,ok,
2026-05-14-20:21:15,j30,j303_4,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T04:32:26,2026-05-15T04:32:27,0.824870,24.29,44.63,90.0,98,ok,
2026-05-14-20:21:15,j30,j3029_5,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T04:32:27,2026-05-15T04:32:30,3.633614,35.95,45.67,99.1,98,ok,
2026-05-14-20:21:15,j30,j3029_5,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T04:32:30,2026-05-15T04:52:31,1200.327278,73.51,78.97,99.7,107,ok,
2026-05-14-20:21:15,j30,j3029_5,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T04:52:31,2026-05-15T04:53:00,29.075339,43.92,45.92,99.5,98,ok,
2026-05-14-20:21:15,j30,j3029_5,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T04:53:00,2026-05-15T05:13:05,1205.153254,472.18,515.13,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3029_5,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T05:13:05,2026-05-15T05:31:01,1076.370132,198.58,239.77,99.7,98,ok,
2026-05-14-20:21:15,j30,j3029_9,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T05:31:01,2026-05-15T05:34:13,191.886833,116.09,131.09,99.6,97,ok,
2026-05-14-20:21:15,j30,j3029_9,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T05:34:13,2026-05-15T05:54:13,1200.331091,71.68,74.42,99.7,103,ok,
2026-05-14-20:21:15,j30,j3029_9,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T05:54:13,2026-05-15T05:59:27,313.338284,61.05,75.11,99.6,97,ok,
2026-05-14-20:21:15,j30,j3029_9,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T05:59:27,2026-05-15T06:19:29,1202.288526,524.44,561.83,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3029_9,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T06:19:29,2026-05-15T06:39:29,1200.410050,209.11,226.07,99.7,99,ok,
2026-05-14-20:21:15,j30,j3025_7,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T06:39:29,2026-05-15T06:39:30,0.757914,23.15,32.96,97.2,95,ok,
2026-05-14-20:21:15,j30,j3025_7,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T06:39:30,2026-05-15T06:59:31,1200.327059,68.27,72.50,99.7,99,ok,
2026-05-14-20:21:15,j30,j3025_7,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T06:59:31,2026-05-15T06:59:31,0.796214,25.62,41.47,97.1,95,ok,
2026-05-14-20:21:15,j30,j3025_7,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T06:59:31,2026-05-15T07:19:27,1195.845294,423.10,463.59,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3025_7,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T07:19:27,2026-05-15T07:24:12,284.531270,153.25,168.64,99.7,95,ok,
2026-05-14-20:21:15,j30,j3045_8,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T07:24:12,2026-05-15T07:24:12,0.603728,18.77,35.63,93.8,94,ok,
2026-05-14-20:21:15,j30,j3045_8,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T07:24:12,2026-05-15T07:44:13,1200.330866,69.03,73.45,99.7,94,ok,
2026-05-14-20:21:15,j30,j3045_8,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T07:44:13,2026-05-15T07:44:14,1.339741,31.49,43.81,98.0,94,ok,
2026-05-14-20:21:15,j30,j3045_8,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T07:44:14,2026-05-15T08:04:13,1198.982492,372.87,396.16,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3045_8,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T08:04:13,2026-05-15T08:05:12,58.902283,116.83,137.81,99.6,94,ok,
2026-05-14-20:21:15,j30,j3025_1,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T08:05:12,2026-05-15T08:05:13,1.316725,27.80,34.29,98.2,93,ok,
2026-05-14-20:21:15,j30,j3025_1,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T08:05:13,2026-05-15T08:25:14,1200.328663,67.14,72.32,99.7,97,ok,
