timestamp,problem_size,instance_name,run_number,runs_per_instance,paradigm,solver,model,started_at,finished_at,elapsed_seconds,avg_ram_mb,max_ram_mb,cpu_percent,makespan,status,error
2026-05-16-02:30:38,j90,j9019_6,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-16T02:30:39,2026-05-16T02:30:41,2.005848,64.20,167.76,88.6,136,ok,
2026-05-16-02:30:38,j90,j9019_6,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-16T02:30:41,2026-05-16T02:30:43,2.016388,69.15,162.37,88.9,136,ok,
2026-05-16-02:30:38,j90,j9019_6,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-16T02:30:43,2026-05-16T02:30:45,1.948976,69.59,165.05,90.2,136,ok,
2026-05-16-02:30:38,j90,j9019_6,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-16T02:30:45,2026-05-16T02:30:50,4.285777,178.20,471.06,98.8,136,ok,
2026-05-16-02:30:38,j90,j9019_6,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-16T02:30:50,2026-05-16T02:30:52,2.096292,54.05,103.96,92.4,136,ok,
2026-05-16-02:30:38,j90,j9037_3,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-16T02:30:52,2026-05-16T02:33:45,173.185705,188.41,229.99,99.6,132,ok,
2026-05-16-02:30:38,j90,j9037_3,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-16T02:33:45,2026-05-16T02:53:45,1200.424094,180.36,198.63,99.7,146,ok,
2026-05-16-02:30:38,j90,j9037_3,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-16T02:53:45,2026-05-16T02:58:52,306.609644,70.17,198.00,99.6,132,ok,
2026-05-16-02:30:38,j90,j9037_3,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-16T02:58:52,2026-05-16T03:19:04,1211.924155,1986.85,2173.80,99.6,,no_solution,
2026-05-16-02:30:38,j90,j9037_3,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-16T03:19:04,2026-05-16T03:39:05,1200.796455,540.01,770.02,99.7,137,ok,
2026-05-16-02:30:38,j90,j9023_9,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-16T03:39:05,2026-05-16T03:39:06,1.253582,45.11,99.59,98.1,126,ok,
2026-05-16-02:30:38,j90,j9023_9,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-16T03:39:06,2026-05-16T03:39:07,1.323259,45.49,102.23,98.2,126,ok,
2026-05-16-02:30:38,j90,j9023_9,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-16T03:39:07,2026-05-16T03:39:09,1.227546,43.56,102.57,98.0,126,ok,
2026-05-16-02:30:38,j90,j9023_9,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-16T03:39:09,2026-05-16T03:39:15,6.371397,259.53,623.17,99.4,126,ok,
2026-05-16-02:30:38,j90,j9023_9,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-16T03:39:15,2026-05-16T03:39:19,3.638035,94.40,154.56,98.0,126,ok,
2026-05-16-02:30:38,j90,j9037_5,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-16T03:39:19,2026-05-16T03:59:19,1200.383959,318.71,377.52,99.6,130,ok,
2026-05-16-02:30:38,j90,j9037_5,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-16T03:59:19,2026-05-16T04:19:19,1200.409298,179.61,229.51,99.7,140,ok,
2026-05-16-02:30:38,j90,j9037_5,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-16T04:19:19,2026-05-16T04:39:20,1200.405454,94.08,232.70,99.6,151,ok,
2026-05-16-02:30:38,j90,j9037_5,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-16T04:39:20,2026-05-16T04:59:14,1194.193141,1911.22,2197.59,99.6,,no_solution,
2026-05-16-02:30:38,j90,j9037_5,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-16T04:59:14,2026-05-16T05:19:15,1200.761293,573.64,1036.73,99.7,,no_solution,
2026-05-16-02:30:38,j90,j9021_3,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-16T05:19:15,2026-05-16T05:39:15,1200.379469,264.02,312.10,99.6,127,ok,
2026-05-16-02:30:38,j90,j9021_3,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-16T05:39:15,2026-05-16T05:59:16,1200.402800,169.38,178.23,99.6,140,ok,
2026-05-16-02:30:38,j90,j9021_3,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-16T05:59:16,2026-05-16T06:19:16,1200.406262,103.60,115.34,99.6,126,ok,
2026-05-16-02:30:38,j90,j9021_3,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-16T06:19:16,2026-05-16T06:37:51,1115.182711,1583.04,1792.70,99.6,,no_solution,
2026-05-16-02:30:38,j90,j9021_3,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-16T06:37:51,2026-05-16T06:57:52,1200.711490,503.65,763.07,99.7,,no_solution,
2026-05-16-02:30:38,j90,j9037_4,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-16T06:57:52,2026-05-16T07:17:52,1200.398373,344.63,416.63,99.6,128,ok,
2026-05-16-02:30:38,j90,j9037_4,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-16T07:17:52,2026-05-16T07:37:53,1200.416405,188.67,204.42,99.7,150,ok,
