timestamp,problem_size,instance_name,run_number,runs_per_instance,paradigm,solver,model,started_at,finished_at,elapsed_seconds,avg_ram_mb,max_ram_mb,cpu_percent,makespan,status,error
2026-05-15-22:34:24,j120,j1206_3,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T22:34:26,2026-05-15T22:54:26,1200.673176,262.25,314.83,99.6,144,ok,
2026-05-15-22:34:24,j120,j1206_3,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T22:54:26,2026-05-15T23:14:27,1200.673363,325.87,347.88,99.4,166,ok,
2026-05-15-22:34:24,j120,j1206_3,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T23:14:27,2026-05-15T23:34:28,1200.418403,81.95,94.33,99.6,,no_solution,
2026-05-15-22:34:24,j120,j1206_3,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T23:34:28,2026-05-15T23:53:48,1160.617688,3254.85,3784.68,99.6,,no_solution,
2026-05-15-22:34:24,j120,j1206_3,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T23:53:48,2026-05-16T00:13:49,1201.135739,887.60,1147.52,99.7,,no_solution,
2026-05-15-22:34:24,j120,j12015_8,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-16T00:13:49,2026-05-16T00:13:51,1.437432,52.91,117.65,98.2,126,ok,
2026-05-15-22:34:24,j120,j12015_8,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-16T00:13:51,2026-05-16T00:13:52,1.584344,58.25,204.43,98.5,126,ok,
2026-05-15-22:34:24,j120,j12015_8,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-16T00:13:52,2026-05-16T00:13:54,1.394444,48.74,111.92,98.2,126,ok,
2026-05-15-22:34:24,j120,j12015_8,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-16T00:13:54,2026-05-16T00:14:05,10.843595,450.94,1060.65,99.5,126,ok,
2026-05-15-22:34:24,j120,j12015_8,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-16T00:14:05,2026-05-16T00:14:11,6.222040,154.75,274.85,98.4,126,ok,
2026-05-15-22:34:24,j120,j1201_3,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-16T00:14:11,2026-05-16T00:34:11,1200.387855,211.70,300.64,99.6,,no_solution,
2026-05-15-22:34:24,j120,j1201_3,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-16T00:34:11,2026-05-16T00:54:12,1200.425114,207.32,230.33,99.3,,no_solution,
